Test (2A): initial election ...
2021/03/10 23:27:46 [INFO 1] now=0
2021/03/10 23:27:46 [INFO 2] now=20
2021/03/10 23:27:46 [INFO 0] now=20
2021/03/10 23:27:46 [INFO 1] now=0
2021/03/10 23:27:46 [INFO 0] now=40
2021/03/10 23:27:46 [INFO 2] now=40
2021/03/10 23:27:46 [INFO 1] now=0
2021/03/10 23:27:46 [INFO 2] now=60
2021/03/10 23:27:46 [INFO 0] now=60
2021/03/10 23:27:46 [INFO 1] now=0
2021/03/10 23:27:46 [INFO 0] now=80
2021/03/10 23:27:46 [INFO 2] now=80
2021/03/10 23:27:46 [INFO 1] now=0
2021/03/10 23:27:46 [INFO 1] leader 1 send heartbeat to follower 0
2021/03/10 23:27:46 [INFO 1] leader 1 send heartbeat to follower 2
2021/03/10 23:27:46 [INFO 0] now=0
2021/03/10 23:27:46 [INFO 2] now=0
2021/03/10 23:27:46 [INFO 1] now=0
2021/03/10 23:27:46 [INFO 2] now=20
2021/03/10 23:27:46 [INFO 0] now=20
2021/03/10 23:27:46 [INFO 1] now=0
2021/03/10 23:27:46 [INFO 2] now=40
2021/03/10 23:27:46 [INFO 0] now=40
2021/03/10 23:27:46 [INFO 1] now=0
2021/03/10 23:27:46 [INFO 0] now=60
2021/03/10 23:27:46 [INFO 2] now=60
2021/03/10 23:27:46 [INFO 1] now=0
2021/03/10 23:27:46 [INFO 2] now=80
2021/03/10 23:27:46 [INFO 0] now=80
2021/03/10 23:27:46 [INFO 1] now=0
2021/03/10 23:27:46 [INFO 1] leader 1 send heartbeat to follower 0
2021/03/10 23:27:46 [INFO 1] leader 1 send heartbeat to follower 2
2021/03/10 23:27:46 [INFO 2] now=0
2021/03/10 23:27:46 [INFO 0] now=0
2021/03/10 23:27:46 [INFO 1] now=0
2021/03/10 23:27:46 [INFO 2] now=20
2021/03/10 23:27:46 [INFO 0] now=20
2021/03/10 23:27:46 [INFO 1] now=0
2021/03/10 23:27:46 [INFO 0] now=40
2021/03/10 23:27:46 [INFO 2] now=40
2021/03/10 23:27:46 [INFO 1] now=0
2021/03/10 23:27:46 [INFO 2] now=60
2021/03/10 23:27:46 [INFO 0] now=60
2021/03/10 23:27:47 [INFO 1] now=0
2021/03/10 23:27:47 [INFO 2] now=80
2021/03/10 23:27:47 [INFO 0] now=80
2021/03/10 23:27:47 [INFO 1] now=0
2021/03/10 23:27:47 [INFO 1] leader 1 send heartbeat to follower 0
2021/03/10 23:27:47 [INFO 1] leader 1 send heartbeat to follower 2
2021/03/10 23:27:47 [INFO 2] now=0
2021/03/10 23:27:47 [INFO 0] now=0
2021/03/10 23:27:47 [INFO 1] now=0
2021/03/10 23:27:47 [INFO 0] now=20
2021/03/10 23:27:47 [INFO 2] now=20
2021/03/10 23:27:47 [INFO 1] now=0
2021/03/10 23:27:47 [INFO 0] now=40
2021/03/10 23:27:47 [INFO 2] now=40
2021/03/10 23:27:47 [INFO 1] now=0
2021/03/10 23:27:47 [INFO 0] now=60
2021/03/10 23:27:47 [INFO 2] now=60
2021/03/10 23:27:47 [INFO 1] now=0
2021/03/10 23:27:47 [INFO 0] now=80
2021/03/10 23:27:47 [INFO 2] now=80
2021/03/10 23:27:47 [INFO 1] leader 1 send heartbeat to follower 0
2021/03/10 23:27:47 [INFO 1] leader 1 send heartbeat to follower 2
2021/03/10 23:27:47 [INFO 1] now=0
2021/03/10 23:27:47 [INFO 0] now=0
2021/03/10 23:27:47 [INFO 2] now=0
2021/03/10 23:27:47 [INFO 1] now=0
2021/03/10 23:27:47 [INFO 0] now=20
